name,ALIGN,EYE,HAIR,SEX,GSM,APPEARANCES,YEAR
Arisia Rrab (New Earth),Good Characters,Yellow Eyes,Blond Hair,Female Characters,,173,1981
Robert Crane (New Earth),Good Characters,Red Eyes,,Male Characters,,171,1942
Joan Williams (New Earth),,Blue Eyes,Grey Hair,Female Characters,,171,1940
William Magnus (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,170,1962
Mary Batson (New Earth),Good Characters,Blue Eyes,Brown Hair,Female Characters,,168,1995
Jean Loring (New Earth),Bad Characters,Green Eyes,Black Hair,Female Characters,,168,1961
Oberon (New Earth),,Blue Eyes,White Hair,Male Characters,,167,1971
Grant Emerson (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,166,1994
Rita Farr (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,166,1963
Jason Rusch (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,165,2004
Hector Hall (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,,165,1983
Mercury (New Earth),Good Characters,Photocellular Eyes,,Male Characters,,165,1962
Jaime Reyes (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,164,2006
Platinum (New Earth),Good Characters,Photocellular Eyes,,Female Characters,,164,1962
Andre Chavard (New Earth),Good Characters,,Brown Hair,Male Characters,,164,1942
Daniel Leong (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,164,1942
Vril Dox II (New Earth),Good Characters,Green Eyes,Blond Hair,Male Characters,,163,1964
"Roy Raymond, Sr. (New Earth)",Good Characters,Blue Eyes,Brown Hair,Male Characters,,163,1949
Uncle Sam (New Earth),,Blue Eyes,White Hair,Male Characters,,162,1940
Metron (New Earth),Neutral Characters,Blue Eyes,Black Hair,Male Characters,,161,1971
Iron (New Earth),Good Characters,Photocellular Eyes,,Male Characters,,161,1962
Lead (New Earth),Good Characters,Photocellular Eyes,,Male Characters,,161,1962
Lucas Carr (New Earth),,Blue Eyes,Brown Hair,Male Characters,,161,1960
Hartley Rathaway (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,Homosexual Characters,160,1959
Lana Lang (New Earth),Good Characters,Green Eyes,Red Hair,Female Characters,,159,1986
Rose Wilson (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,,158,1992
DeSaad (New Earth),Bad Characters,Black Eyes,Black Hair,Male Characters,,158,1971
Charles Taine (Pre-Zero Hour),Good Characters,Black Eyes,Black Hair,Male Characters,,158,1961
Bane (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,157,1993
Salakk (New Earth),Good Characters,White Eyes,,Male Characters,,155,1982
Tin (New Earth),Good Characters,Photocellular Eyes,,Male Characters,,155,1962
Samuel Morgan (New Earth),Good Characters,,Red Hair,Male Characters,,155,1937
Eve Eden (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,154,1966
Harleen Quinzel (New Earth),Bad Characters,Blue Eyes,Blond Hair,Female Characters,,153,1999
Benjamin Turner (New Earth),Neutral Characters,Brown Eyes,Black Hair,Male Characters,,153,1975
Mark Mardon (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,152,1960
Teth-Adam (New Earth),Neutral Characters,Brown Eyes,Black Hair,Male Characters,,152,1945
Catherine Grant (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,151,1987
Terrence Sloane (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,151,1942
Jason Blood (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,,148,1972
Gold (New Earth),Good Characters,Photocellular Eyes,,Male Characters,,147,1962
Victor Fries (New Earth),Bad Characters,Blue Eyes,,Male Characters,,143,1959
Thomas Wayne (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,142,1987
Arthur Light (New Earth),Bad Characters,Black Eyes,Black Hair,Male Characters,,142,1962
Lester Davis (New Earth),Good Characters,,Black Hair,Male Characters,,142,1957
Artemis of Bana-Mighdall (New Earth),Good Characters,Green Eyes,Red Hair,Female Characters,,141,1994
Alanna Strange (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,141,1958
Nuidis Vulko (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,,140,1967
Steven Dayton (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,140,1964
Lee Travis (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,139,1938
Martin Stein (New Earth),Good Characters,Brown Eyes,Grey Hair,Male Characters,,138,1978
Solis (New Earth),,Blue Eyes,Strawberry Blond Hair,Male Characters,,138,1971
Alfred Twidgett (New Earth),,,,Male Characters,,137,1942
Tubby Watts (New Earth),Good Characters,,Red Hair,Male Characters,,137,1941
Unknown Soldier I (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,136,1970
Giovanni Giuseppe (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,136,1960
Cynthia Reynolds (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,134,1984
Victoria Vale (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,,134,1948
Lucius Fox (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,133,1979
Ganthet (New Earth),Good Characters,Green Eyes,White Hair,Male Characters,,132,1992
Izaya (New Earth),Good Characters,Grey Eyes,White Hair,Male Characters,,132,1971
Barbara Ann Minerva (New Earth),,Brown Eyes,,Female Characters,,131,1987
Rory Regan (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,131,1976
Eclipso (New Earth),Bad Characters,Red Eyes,Black Hair,Male Characters,,131,1963
Mick Rory (New Earth),,Blue Eyes,,Male Characters,,131,1963
Kyle Morgan (New Earth),Good Characters,Brown Eyes,Blond Hair,Male Characters,,131,1957
Matthew Ryan (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,,131,1957
Dinah Drake (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,131,1947
Robert Langstrom (New Earth),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,130,1970
Sargent Steel (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,130,1964
Victory (New Earth),Good Characters,Black Eyes,White Hair,Male Characters,,130,1941
Katma Tui (New Earth),Good Characters,,Black Hair,Female Characters,,129,1964
Walter Haley (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,129,1957
Charles Victor Szasz (New Earth),Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,128,1967
Ares (New Earth),Bad Characters,Red Eyes,Blond Hair,Male Characters,,127,1987
Rip Carter (New Earth),Good Characters,,Black Hair,Male Characters,,127,1942
Eradicator (New Earth),Good Characters,Photocellular Eyes,Black Hair,Male Characters,,126,1989
Emil Hamilton (New Earth),Bad Characters,Hazel Eyes,Grey Hair,Male Characters,,126,1987
Richard Swift (New Earth),Neutral Characters,Grey Eyes,Black Hair,Male Characters,,126,1942
Frederick Freeman (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,125,1995
Katar Hol (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,125,1989
Richard Occult (New Earth),,Grey Eyes,Black Hair,Male Characters,,125,1935
Maxima (New Earth),Good Characters,Brown Eyes,Red Hair,Female Characters,,124,1989
Dawn Granger (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,,124,1988
Inza Cramer (New Earth),Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,,124,1940
Linda Danvers (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,123,1996
Dubbilex (New Earth),Good Characters,Green Eyes,,Male Characters,,123,1971
Gunner MacKay (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,123,1959
Antonia Monetti (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,122,1996
Jack Knight (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,122,1994
Skeets (New Earth),Good Characters,,,Male Characters,,122,1986
Nimue Inwudu (New Earth),Good Characters,Green Eyes,Black Hair,Female Characters,,121,1978
Khaji Da (New Earth),Good Characters,,,,,121,1964
Sarge Clay (New Earth),Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,121,1959
Elizabeth Lawrence (New Earth),,Blue Eyes,Blond Hair,Female Characters,,120,1942
Pallas Athena (New Earth),Neutral Characters,Grey Eyes,Brown Hair,Female Characters,,118,1958
Crispus Allen (New Earth),Good Characters,Brown Eyes,,Male Characters,,116,2000
Evan McCulloch (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,116,1989
Terrence Long (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,,116,1981
Strata (New Earth),Good Characters,White Eyes,,Female Characters,,115,1989
Granny Goodness (New Earth),Bad Characters,Blue Eyes,White Hair,Female Characters,,115,1971
Dolphin (New Earth),Good Characters,Blue Eyes,Silver Hair,Female Characters,,115,1968
Zeus (New Earth),Neutral Characters,Blue Eyes,White Hair,Male Characters,,115,1941
Holly Robinson (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,Homosexual Characters,114,1987
Martha Kane (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,113,1987
Jason Woodrue (New Earth),Bad Characters,Red Eyes,Green Hair,Male Characters,,113,1962
John Sargent (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,113,1941
Dian Belmont (New Earth),Good Characters,Hazel Eyes,Brown Hair,Female Characters,,113,1940
Edward Bloomberg (New Earth),Good Characters,Yellow Eyes,Grey Hair,Male Characters,,111,1984
Leslie Thompkins (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,,111,1976
Tara Markov (Team Titans),Good Characters,Blue Eyes,Blond Hair,Female Characters,,110,1991
Dmitri Pushkin (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,110,1987
June Moone (New Earth),Good Characters,Green Eyes,Black Hair,Female Characters,,110,1966
Mia Dearden (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,109,2001
Krypto (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,,109,1955
Ohiyesa I (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,109,1949
Donald Richards (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,109,1942
Zauriel (New Earth),Good Characters,Red Eyes,White Hair,Male Characters,,108,1997
Leonid Kovar (New Earth),Good Characters,Green Eyes,Blond Hair,Male Characters,,108,1968
Thomas Blake (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,108,1963
Emily Briggs (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,,107,1985
Lilith Clay (New Earth),Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,,107,1970
Thomas Tresser (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,106,1980
Hans von Hammer (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,,106,1965
William Polk (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,106,1948
Lyla Michaels (New Earth),Good Characters,Green Eyes,Blond Hair,Female Characters,,105,1982
Bruce Gordon (New Earth),Good Characters,,Brown Hair,Male Characters,,105,1963
Sugar Plumm (New Earth),Good Characters,,Blond Hair,Female Characters,,105,1956
Jervis Tetch (New Earth),Bad Characters,Blue Eyes,Red Hair,Male Characters,,105,1948
Enya Wazzo (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,104,1989
Werner Vertigo (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,104,1978
Sapphire Stagg (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,104,1965
Zinda Blake (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,104,1959
Cecil Wilson (New Earth),Good Characters,,Red Hair,Male Characters,,104,1956
Aphrodite (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,104,1941
Sarah Essen (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,103,1987
Jade Nguyen (New Earth),Bad Characters,Green Eyes,Black Hair,Female Characters,,103,1983
Rip Hunter (New Earth),,Blue Eyes,Blond Hair,Male Characters,,103,1959
Wing How (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,103,1938
Jack Drake (New Earth),Good Characters,Black Eyes,Brown Hair,Male Characters,,102,1989
Vril Dox I (New Earth),Bad Characters,Green Eyes,,Male Characters,,102,1988
Adolf Hitler (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,101,1942
Grace Choi (New Earth),Good Characters,Brown Eyes,Red Hair,Female Characters,Bisexual Characters,100,2003
Lawrence Jordan (New Earth),,Brown Eyes,Brown Hair,Male Characters,,100,1942
Natasha Irons (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,99,1994
Katherine Spencer (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,98,2004
Stealth (New Earth),Good Characters,Pink Eyes,White Hair,Female Characters,,98,1989
Lorraine Reilly (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,,98,1982
Noah Kuttler (New Earth),Bad Characters,Green Eyes,Brown Hair,Male Characters,,98,1976
Despero (New Earth),Bad Characters,Yellow Eyes,,Male Characters,,98,1960
Jan Haasan (New Earth),Good Characters,,Blond Hair,Male Characters,,98,1942
Tef\u00e9 Holland (New Earth),Bad Characters,Blue Eyes,White Hair,Female Characters,Bisexual Characters,97,1989
Hippolyta Trevor (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,97,1983
Jeffrey Franklin Burr (New Earth),Bad Characters,Black Eyes,,Male Characters,,97,1976
Bizarro (New Earth),Neutral Characters,Black Eyes,Black Hair,Male Characters,,96,2000
Henry Henshaw (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,96,1990
Charles Dickles (New Earth),Good Characters,,,Male Characters,,96,1941
Maxine Hunkel (New Earth),Good Characters,Green Eyes,Red Hair,Female Characters,,95,2007
Dream (New Earth),Neutral Characters,Black Eyes,Black Hair,Male Characters,,95,1989
Wade Eiling (New Earth),Bad Characters,Red Eyes,Brown Hair,Male Characters,,95,1987
Black Manta (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,95,1967
Felix Faust (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,95,1962
Virgil Hawkins (Dakotaverse),Good Characters,Brown Eyes,Black Hair,Male Characters,,94,1993
James Harper (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,94,1942
